workload,seconds,rss_bytes
small_files,0.018154375022277236,23511040
small_files,0.01497358304914087,23052288
small_files,0.01380858407355845,24182784
small_files,0.013500959030352533,23379968
small_files,0.013072791043668985,23838720
small_files,0.014215375063940883,23429120
small_files,0.013852041913196445,24018944
small_files,0.014412667020224035,24133632
small_files,0.013432458974421024,23461888
small_files,0.015156166977249086,23363584
small_files,0.014094582991674542,21708800
small_files,0.013516250066459179,24018944
small_files,0.01285583304706961,24461312
small_files,0.013505624956451356,24166400
small_files,0.01289933396037668,23560192
small_files,0.01337749999947846,23576576
small_files,0.014170167036354542,23412736
small_files,0.014214916969649494,23707648
small_files,0.012560290982946754,24133632
small_files,0.01312462508212775,23560192
small_files,0.01500779204070568,23543808
small_files,0.013373416964896023,23937024
small_files,0.013036665972322226,23691264
small_files,0.013510290998965502,22921216
small_files,0.014127541100606322,23691264
small_files,0.013391457963734865,23248896
small_files,0.01333133305888623,22577152
small_files,0.013398624956607819,23281664
small_files,0.014159125043079257,23855104
small_files,0.014080166933126748,23560192
mixed_heavy_tail,0.03094033303204924,23543808
mixed_heavy_tail,0.03079787502065301,23756800
mixed_heavy_tail,0.029548584017902613,23330816
mixed_heavy_tail,0.02987783297430724,23494656
mixed_heavy_tail,0.02887066698167473,23511040
mixed_heavy_tail,0.02951200003735721,23166976
mixed_heavy_tail,0.02897924999706447,23347200
mixed_heavy_tail,0.030465332907624543,23216128
mixed_heavy_tail,0.030777417006902397,23183360
mixed_heavy_tail,0.030550083029083908,23609344
mixed_heavy_tail,0.030159707996062934,23068672
mixed_heavy_tail,0.030694292043335736,23658496
mixed_heavy_tail,0.029838499962352216,23642112
mixed_heavy_tail,0.02960020792670548,23412736
mixed_heavy_tail,0.030026375083252788,23347200
mixed_heavy_tail,0.02936033403966576,23183360
mixed_heavy_tail,0.029527125065214932,23101440
mixed_heavy_tail,0.03071316599380225,23281664
mixed_heavy_tail,0.029773041955195367,22970368
mixed_heavy_tail,0.029648541938513517,23543808
mixed_heavy_tail,0.03089766704943031,23543808
mixed_heavy_tail,0.029552833060733974,23379968
mixed_heavy_tail,0.030159166897647083,23707648
mixed_heavy_tail,0.02989820798393339,23822336
mixed_heavy_tail,0.029774292022921145,23724032
mixed_heavy_tail,0.029879207955673337,23740416
mixed_heavy_tail,0.02977129106875509,23527424
mixed_heavy_tail,0.03035366698168218,23527424
mixed_heavy_tail,0.03000416699796915,23265280
mixed_heavy_tail,0.03015591693110764,23887872
sensitive_dense,0.01534945797175169,23019520
sensitive_dense,0.015441291965544224,22790144
sensitive_dense,0.015205665957182646,22872064
sensitive_dense,0.015472166007384658,21725184
sensitive_dense,0.015142165939323604,22380544
sensitive_dense,0.015700874966569245,22675456
sensitive_dense,0.014873875072225928,21528576
sensitive_dense,0.01644404197577387,22216704
sensitive_dense,0.016209208057262003,22446080
sensitive_dense,0.015349957975558937,22478848
sensitive_dense,0.016207417007535696,21643264
sensitive_dense,0.016152999945916235,22675456
sensitive_dense,0.015361124998889863,22609920
sensitive_dense,0.015999874914996326,22888448
sensitive_dense,0.016112916986458004,22724608
sensitive_dense,0.016300874995067716,22528000
sensitive_dense,0.01631991600152105,23003136
sensitive_dense,0.015469291945919394,22200320
sensitive_dense,0.01590779097750783,22740992
sensitive_dense,0.015391791937872767,22773760
sensitive_dense,0.01624750008340925,22446080
sensitive_dense,0.01626345794647932,22462464
sensitive_dense,0.01646712503861636,22659072
sensitive_dense,0.016403584042564034,22970368
sensitive_dense,0.016057792003266513,22757376
sensitive_dense,0.015525999944657087,22413312
sensitive_dense,0.015180625021457672,22691840
sensitive_dense,0.017183916992507875,22462464
sensitive_dense,0.018974291044287384,22904832
sensitive_dense,0.016561958007514477,22593536
duplicate_logs,0.015655499999411404,23445504
duplicate_logs,0.015267707989551127,23330816
duplicate_logs,0.01551175001077354,23461888
duplicate_logs,0.01556258404161781,23347200
duplicate_logs,0.01567483297549188,23527424
duplicate_logs,0.01533149997703731,23609344
duplicate_logs,0.014828708954155445,23609344
duplicate_logs,0.015174750005826354,23232512
duplicate_logs,0.014504750026389956,23642112
duplicate_logs,0.01441991701722145,23396352
duplicate_logs,0.015024916036054492,23740416
duplicate_logs,0.014621041947975755,23773184
duplicate_logs,0.014191583031788468,23117824
duplicate_logs,0.01621599995996803,23855104
duplicate_logs,0.01587395800743252,23461888
duplicate_logs,0.015302582993172109,23707648
duplicate_logs,0.014831791981123388,23314432
duplicate_logs,0.01545900001656264,23707648
duplicate_logs,0.015003915992565453,23265280
duplicate_logs,0.015379000105895102,23216128
duplicate_logs,0.01503941707778722,23511040
duplicate_logs,0.014413999975658953,23248896
duplicate_logs,0.014684833935461938,23166976
duplicate_logs,0.01424145803321153,23134208
duplicate_logs,0.015010833041742444,22970368
duplicate_logs,0.014653666992671788,23330816
duplicate_logs,0.014784458093345165,23150592
duplicate_logs,0.017180500086396933,23658496
duplicate_logs,0.01563700009137392,23281664
duplicate_logs,0.015560666099190712,23396352
