workload,seconds,rss_bytes
small_files,0.018296124995686114,23150592
small_files,0.016986417002044618,23855104
small_files,0.016256958013400435,23511040
small_files,0.014910832978785038,23265280
small_files,0.015500749927014112,23773184
small_files,0.016315208980813622,23330816
small_files,0.015448541031219065,23019520
small_files,0.01614616601727903,23314432
small_files,0.015398082905448973,22069248
small_files,0.015985999954864383,23560192
small_files,0.015986165963113308,22724608
small_files,0.016274041961878538,23543808
small_files,0.015242625027894974,23592960
small_files,0.015390457934699953,22953984
small_files,0.015024209045805037,22937600
small_files,0.015332582988776267,23035904
small_files,0.015830582939088345,23560192
small_files,0.015141166048124433,22953984
small_files,0.016589208971709013,23822336
small_files,0.015917500015348196,22790144
small_files,0.015880250022746623,23298048
small_files,0.015064542065374553,23281664
small_files,0.01587566698435694,23609344
small_files,0.015118959010578692,23183360
small_files,0.014881459064781666,23625728
small_files,0.0157249589683488,23986176
small_files,0.015182457980699837,21921792
small_files,0.015053290990181267,23101440
small_files,0.01598337502218783,23412736
small_files,0.015155041008256376,23478272
mixed_heavy_tail,0.032338415971025825,23740416
mixed_heavy_tail,0.031016374938189983,23674880
mixed_heavy_tail,0.030533500015735626,23445504
mixed_heavy_tail,0.03090441704262048,23674880
mixed_heavy_tail,0.030435124994255602,23789568
mixed_heavy_tail,0.03232566697988659,23494656
mixed_heavy_tail,0.030575542012229562,23281664
mixed_heavy_tail,0.03199662500992417,23265280
mixed_heavy_tail,0.03261608292814344,23642112
mixed_heavy_tail,0.03183404204901308,23216128
mixed_heavy_tail,0.03128266707062721,23625728
mixed_heavy_tail,0.030575833981856704,23216128
mixed_heavy_tail,0.030444542062468827,23445504
mixed_heavy_tail,0.030866542016156018,23707648
mixed_heavy_tail,0.03088095795828849,23642112
mixed_heavy_tail,0.03178874996956438,23560192
mixed_heavy_tail,0.03154316602740437,23592960
mixed_heavy_tail,0.0329302919562906,23511040
mixed_heavy_tail,0.02953445806633681,23592960
mixed_heavy_tail,0.030971208005212247,23887872
mixed_heavy_tail,0.034238624968566,23052288
mixed_heavy_tail,0.031819042051211,23805952
mixed_heavy_tail,0.030539790983311832,23248896
mixed_heavy_tail,0.031050790916197002,23117824
mixed_heavy_tail,0.03155325003899634,23117824
mixed_heavy_tail,0.03179595898836851,23429120
mixed_heavy_tail,0.030394542030990124,23658496
mixed_heavy_tail,0.03195700002834201,23691264
mixed_heavy_tail,0.03126308403443545,23576576
mixed_heavy_tail,0.03163120790850371,23461888
sensitive_dense,0.017193583073094487,23117824
sensitive_dense,0.017196582979522645,23117824
sensitive_dense,0.01716133300215006,22691840
sensitive_dense,0.01772370794788003,22577152
sensitive_dense,0.015977040980942547,23199744
sensitive_dense,0.01619620795827359,22970368
sensitive_dense,0.016775583033449948,22970368
sensitive_dense,0.016196084092371166,22593536
sensitive_dense,0.017110749962739646,22560768
sensitive_dense,0.016922874958254397,22265856
sensitive_dense,0.01721658301539719,22315008
sensitive_dense,0.017102707992307842,22478848
sensitive_dense,0.01646950002759695,22855680
sensitive_dense,0.016535750008188188,22888448
sensitive_dense,0.016249292064458132,22675456
sensitive_dense,0.01742183300666511,22970368
sensitive_dense,0.016973334015347064,22740992
sensitive_dense,0.01727937499526888,22528000
sensitive_dense,0.016378958011046052,22544384
sensitive_dense,0.016985416994430125,23183360
sensitive_dense,0.016958916909061372,22315008
sensitive_dense,0.01607112493366003,22429696
sensitive_dense,0.016908999998122454,22740992
sensitive_dense,0.018203375046141446,22986752
sensitive_dense,0.0168084999313578,23035904
sensitive_dense,0.017017291975207627,22757376
sensitive_dense,0.015756542095914483,22773760
sensitive_dense,0.016097208019346,23068672
sensitive_dense,0.01712591596879065,22757376
sensitive_dense,0.0164237089920789,22806528
duplicate_logs,0.016856290982104838,23461888
duplicate_logs,0.017586792004294693,23265280
duplicate_logs,0.016562875011004508,23576576
duplicate_logs,0.01661604200489819,23248896
duplicate_logs,0.01643412502016872,23035904
duplicate_logs,0.016713000019080937,23461888
duplicate_logs,0.015876500052399933,23543808
duplicate_logs,0.01656837505288422,23527424
duplicate_logs,0.01599920797161758,23592960
duplicate_logs,0.016568416031077504,23281664
duplicate_logs,0.015988999977707863,23560192
duplicate_logs,0.01632295793388039,23609344
duplicate_logs,0.016138457925990224,23003136
duplicate_logs,0.016522291000001132,23511040
duplicate_logs,0.016741583007387817,23527424
duplicate_logs,0.018108082935214043,23674880
duplicate_logs,0.01832054101396352,23379968
duplicate_logs,0.02143849991261959,23101440
duplicate_logs,0.017797417007386684,23511040
duplicate_logs,0.016567957936786115,23445504
duplicate_logs,0.016877083922736347,23134208
duplicate_logs,0.01673041598405689,24068096
duplicate_logs,0.017274208017624915,23248896
duplicate_logs,0.01649145793635398,23838720
duplicate_logs,0.017259916989132762,23707648
duplicate_logs,0.016623292001895607,23085056
duplicate_logs,0.0166557909687981,23707648
duplicate_logs,0.01674875000026077,22953984
duplicate_logs,0.01690633303951472,23035904
duplicate_logs,0.01649433304555714,23248896
